mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									Grave	45.0			1.0				
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	0													
1	1	0	0	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	1										0			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	2										0			
1	1	0	0	0.0	0	0	Dynamic	4/4	4	1	0						p											
1	1	2	2	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	3										1			
1	1	0	0	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	4			articStaccatoBelow							2			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	5			articStaccatoBelow							2			
1	1	1	1	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	6			articStaccatoBelow							2			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	7			articStaccatoBelow							2			
1	1	2	2	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	8			articStaccatoBelow							2			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	9			articStaccatoBelow							2			
1	1	3	3	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	10			articStaccatoBelow							2			
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	11			articStaccatoBelow										
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	12													
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	13													
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	14													
2	2	4	4	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	15										0			
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	16										0			
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	17										1			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	18										1			
2	2	4	4	0.0	0	0	StaffText	4/4	4	2	0								simile									
2	2	4	4	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	19			articStaccatoBelow										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	20			articStaccatoBelow										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	21			articStaccatoBelow										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	22			articStaccatoBelow										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	23			articStaccatoBelow										
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	24			articStaccatoBelow										
2	2	7	7	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	25			articStaccatoBelow										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	26			articStaccatoBelow										
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	27													
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	28													
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	29													
3	3	8	8	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	30										0			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	31										0			
3	3	8	8	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	32										1			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	33										1			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	34										1			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	35										1			
3	3	8	8	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	36			articStaccatoBelow										
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	37			articStaccatoBelow										
3	3	9	9	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	38			articStaccatoBelow										
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	39			articStaccatoBelow										
3	3	10	10	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	40			articStaccatoBelow										
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	41			articStaccatoBelow										
3	3	11	11	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	42			articStaccatoBelow										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	43			articStaccatoBelow										
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	44													
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	45													
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	46													
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	47													
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	48													
4	4	12	12	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	49										0			
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	50										0			
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	51										0			
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	52										0			
4	4	12	12	1.5	0	0	Chord	4/4	4	1	3/8		1/4	3/2	53										1			
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	54										1			
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	55										1			
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	56										1			
4	4	12	12	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	57			articStaccatoBelow										
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	58			articStaccatoBelow										
4	4	13	13	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	59			articStaccatoBelow										
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	60			articStaccatoBelow										
4	4	14	14	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	61			articStaccatoBelow										
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	62			articStaccatoBelow										
4	4	15	15	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	63			articStaccatoBelow										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	64			articStaccatoBelow										
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	65													
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	66													
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	67													
5	5	16	16	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	68										0			
5	5	18	18	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	69													
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	70			articStaccatoAbove										
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	71			articStaccatoAbove										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	72			articStaccatoAbove										
5	5	16	16	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	73										1			
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	74										1			
5	5	17	17	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	75										1			
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	76										1			
5	5	18	18	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	77													
5	5	16	16	1.5	0	0	Chord	4/4	4	2	3/8		1/4	3/2	78													
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	79													
5	5	18	18	0.0	1/2	1/2	StaffText	4/4	4	2	0								espr.									
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	2	1/2		1/2	1	80													
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	81			articStaccatoBelow										
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	82										3			
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	83										3			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	84													
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	85			articStaccatoAbove										
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	86			articStaccatoAbove										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	87			articStaccatoAbove										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	88			articStaccatoAbove										
6	6	41/2	41/2	0.0	1/8	1/8	Dynamic	4/4	4	1	0						other-dynamics											
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	89													
6	6	21	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	90													
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	91													
6	6	22	22	0.0	1/2	1/2	StaffText	4/4	4	1	0								espr.									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	92													
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	2	1/2		1/2	1	93													
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	94			articStaccatoBelow										
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	95										4			
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	96										4			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	97													
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	98			articStaccatoAbove										
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	99			articStaccatoAbove										
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	100			articStaccatoAbove										
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	101			articStaccatoAbove										
7	7	49/2	49/2	0.0	1/8	1/8	Dynamic	4/4	4	1	0						other-dynamics											
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	102													
7	7	25	25	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	103													
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	104													
7	7	26	26	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	105													
7	7	53/2	53/2	0.0	5/8	5/8	Dynamic	4/4	4	1	0						f											
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	106			articStaccatoAbove										
7	7	27	27	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	107			articStaccatoAbove										
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	108			articStaccatoAbove										
8	8	28	28	0.0	0	0	Spanner	4/4	3	1	0															0		
8	8	28	28	0.0	0	0	Spanner	4/4	3	1	0															0, 1		
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	109										5	0, 1		
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	110											0, 1		
8	8	59/2	59/2	0.0	3/8	3/8	Spanner	4/4	3	1	0															1		
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	3	1	0																	
8	8	28	28	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	111													
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	112													
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	113													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	114													
8	8	30	30	0.0	1/2	1/2	Dynamic	4/4	3	2	0						p											
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	115			articStaccatoAbove										
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	116			articStaccatoAbove										
8	8	28	28	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	117													
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	118													
8	8	29	29	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	119													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	120													
8	8	30	30	0.0	1/2	1/2	Dynamic	4/4	4	1	0						p											
8	8	30	30	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	121													
8	8	31	31	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	122													
8	8	28	28	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	123													
8	8	57/2	57/2	1.0	1/8	1/8	Chord	4/4	4	2	1/4		1/4	1	124													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	125													
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	126										6			
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	127										6			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	128													
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	129													
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	130													
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	131													
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	132													
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	133			articStaccatoAbove										
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	134			articStaccatoAbove										
9	9	32	32	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	135													
9	9	33	33	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	136													
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	4	1	0						other-dynamics											
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	137													
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	138													
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	139										7			
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	140										7			
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	141													
10	10	38	38	0.25	1/2	1/2	Chord	4/4	3	1	1/16		1/16	1	142										8			
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16		1/16	1	143										8			
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	144										8			
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	145										8			
10	10	39	39	0.25	3/4	3/4	Chord	4/4	3	1	1/16		1/16	1	146										8			
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16		1/16	1	147										8			
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16		1/16	1	148										8			
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	149													
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	150													
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	151													
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	152													
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	153													
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	154													
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	155													
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	156													
10	10	36	36	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	157													
10	10	37	37	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	158													
10	10	38	38	0.0	1/2	1/2	Dynamic	4/4	4	1	0						f											
10	10	38	38	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	159										9			
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	160										9			
10	10	39	39	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	161										9			
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	162													
10	10	39	39	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	163													
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	4	2	1/16		1/16	1	164													
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	4	2	1/16		1/16	1	165													
11	11	40	40	0.0	0	0	StaffText	4/4	1	1	0								Sopr.									
11	11	40	40	0.0	0	0	StaffText	4/4	2	1	0								Alto									
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	166													
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	167													
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	168			ornamentTrill										
11	11	42	42	0.0	1/2	1/2	Chord	4/4	3	1	0	grace16	1/16	1	169													
11	11	42	42	0.0	1/2	1/2	Chord	4/4	3	1	0	grace16	1/16	1	170													
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	171			articStaccatoBelow										
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	172			articStaccatoBelow										
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	173													
11	11	40	40	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	174										10			
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	175													
11	11	40	40	0.0	0	0	Spanner	4/4	4	1	0																0	
11	11	40	40	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	176												0	
11	11	81/2	81/2	1.0	1/8	1/8	Chord	4/4	4	1	1/4		1/4	1	177										11		0	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	178												0	
11	11	40	40	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	179												0	
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	180												0	
11	11	41	41	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	181												0	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	182												0	
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	2	1/4		1/4	1	183												0	
12	12	46	46	0.0	1/2	1/2	Dynamic	4/4	1	1	0						p											
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	184	Sta-												
12	12	44	44	0.0	0	0	Dynamic	4/4	2	1	0						p											
12	12	44	44	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	185	Sta-												
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	186	-bat												
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	187													
12	12	44	44	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	188													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	189													
12	12	44	44	0.0	0	0	Dynamic	4/4	4	1	0						other-dynamics											
12	12	44	44	0.0	0	0	Spanner	4/4	4	1	0																	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	190													
12	12	44	44	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	191													
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	192													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	193													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	194													
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	195													
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	196													
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	197													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	198													
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	199													
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	200	-bat												
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	201	ma-												
13	13	48	48	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	202	ma-												
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	203	-ter												
13	13	48	48	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	204													
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	205													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	206													
13	13	48	48	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	207													
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	208													
13	13	48	48	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	209													
13	13	50	50	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	210													
13	13	48	48	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	211													
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	212													
13	13	49	49	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	213													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	214													
13	13	50	50	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	215													
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	216													
13	13	51	51	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	217													
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	218													
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	219													
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	220	-ter												
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	221	do-												
14	14	52	52	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	222	do-												
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	223	-lo-												
14	14	52	52	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	224													
14	14	53	53	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	225													
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	226										12			
14	14	52	52	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	227													
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	228													
14	14	52	52	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	229													
14	14	53	53	2.0	1/4	1/4	Chord	4/4	4	1	1/2		1/2	1	230													
14	14	52	52	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	231													
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	232													
14	14	53	53	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	233													
