mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	234													
14	14	54	54	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	235													
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	236													
14	14	55	55	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	237													
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	238													
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	239													
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	240	-lo-									13			
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	241													
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	242	-ro-									14			
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	243	-ro-									15			
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	244										15			
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	245										15			
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	246										15			
15	15	56	56	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	247													
15	15	58	58	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	248													
15	15	56	56	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	249													
15	15	57	57	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	250													
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	251													
15	15	58	58	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	252			articStaccatoAbove										
15	15	59	59	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	253													
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	254													
15	15	58	58	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	255													
15	15	56	56	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	256													
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	257													
15	15	57	57	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	258													
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	259													
15	15	58	58	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	260													
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	261													
15	15	59	59	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	262													
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	263													
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	264										14			
16	16	61	61	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	265										14			
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	266										14			
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	267										14			
16	16	60	60	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	268										15			
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	269										15			
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	270										15			
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	271													
16	16	61	61	2.0	1/4	1/4	Chord	4/4	3	1	1/2		1/2	1	272													
16	16	63	63	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	273													
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	274													
16	16	60	60	1.5	0	0	Chord	4/4	3	2	3/8		1/4	3/2	275													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	276													
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	277													
16	16	60	60	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	278													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	279													
16	16	62	62	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	280													
16	16	60	60	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	281													
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	282													
16	16	61	61	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	283													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	284													
16	16	62	62	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	285													
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	286													
16	16	63	63	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	287													
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	288													
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0															2		
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	289			ornamentTrill								2		
17	17	66	66	0.0	1/2	1/2	Spanner	4/4	1	1	0																	
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	290	-sa												
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0															3		
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	291			ornamentTrill								3		
17	17	66	66	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	292	-sa												
17	17	64	64	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	293													
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	294													
17	17	65	65	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	295													
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	296													
17	17	66	66	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	297													
17	17	64	64	0.0	0	0	Spanner	4/4	4	1	0															4		
17	17	64	64	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	298											4		
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	299											4		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	300											4		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	301											4		
17	17	66	66	0.0	1/2	1/2	Spanner	4/4	4	1	0																	
17	17	66	66	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	302													
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	303													
17	17	67	67	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	304													
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	305													
18	18	68	68	0.0	0	0	Dynamic	4/4	1	1	0						p											
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	306	jux-												
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	307	-ta												
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	308	cru-									16			
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	309													
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	310	-cem												
18	18	68	68	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	311										17			
18	18	69	69	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	312										17			
18	18	70	70	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	313										17			
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	314										17			
18	18	71	71	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	315													
18	18	68	68	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	316													
18	18	70	70	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	317													
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	318										18			
18	18	71	71	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	319										18			
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	320													
18	18	69	69	1.5	1/4	1/4	Chord	4/4	3	3	3/8		1/4	3/2	321													
18	18	68	68	0.0	0	0	Dynamic	4/4	4	1	0						p											
18	18	68	68	4.0	0	0	Chord	4/4	4	1	1		1	1	322													
18	18	68	68	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	323													
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	324													
18	18	69	69	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	325													
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	326													
18	18	70	70	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	327													
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	328													
18	18	71	71	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	329													
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	330													
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	331													
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	332	la-									19			
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	333													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	334	-cri-												
19	19	74	74	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	2/3	335													
19	19	74	74	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24		1/16	2/3	336	-mo-									20			
19	19	445/6	445/6	0.16666666666666666	13/24	13/24	Chord	4/4	1	1	1/24		1/16	2/3	337										20			
19	19	223/3	223/3	0.16666666666666666	7/12	7/12	Chord	4/4	1	1	1/24		1/16	2/3	338													
19	19	149/2	149/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	339	-sa,									21			
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	340													
19	19	72	72	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	341													
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	342										22			
19	19	73	73	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	343													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	344										23			
19	19	74	74	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	345										23			
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	346													
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	347													
19	19	75	75	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	348													
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	349													
19	19	72	72	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	350													
19	19	145/2	145/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4		1/4	1	351													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	352													
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	353													
19	19	72	72	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	354													
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	355													
19	19	73	73	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	356													
19	19	74	74	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	357													
19	19	75	75	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	358													
19	19	72	72	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	359													
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	360													
19	19	73	73	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	361													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	362													
19	19	74	74	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	363													
19	19	149/2	149/2	0.0	5/8	5/8	Spanner	4/4	4	2	0															5		
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	364											5		
19	19	75	75	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	365											5		
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	366											5		
20	20	76	76	0.0	0	0	Dynamic	4/4	2	1	0						p											
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	367	jux-												
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	368	-ta												
20	20	78	78	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	369	cru-									24			
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	370													
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	371	-cem												
20	20	76	76	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	372													
20	20	77	77	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	373													
20	20	78	78	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	374													
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	375													
20	20	79	79	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	376													
20	20	77	77	1.5	1/4	1/4	Chord	4/4	3	2	3/8		1/4	3/2	377													
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	378													
20	20	79	79	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	379													
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	380													
20	20	76	76	0.0	0	0	Dynamic	4/4	4	1	0						p											
20	20	76	76	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	381													
20	20	77	77	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	382													
20	20	78	78	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	383													
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	384													
20	20	79	79	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	385													
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	386													
20	20	76	76	0.0	0	0	Spanner	4/4	4	2	0																	
20	20	76	76	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	387													
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	388													
20	20	77	77	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	389													
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	390													
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	391													
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	392	la-									25			
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	393													
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	394	-cri-												
21	21	82	82	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	395	-mo-									26			
21	21	493/6	493/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	396										26			
21	21	247/3	247/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	397													
21	21	165/2	165/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	398	-sa,									27			
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	399													
21	21	80	80	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	400													
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	401										28			
21	21	81	81	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	402													
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	403										29			
21	21	82	82	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	404										29			
21	21	165/2	165/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16		1/16	1	405										29			
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	406										29			
21	21	83	83	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	407													
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	408			articStaccatoBelow										
21	21	80	80	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	409													
21	21	161/2	161/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4		1/4	1	410													
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	411													
21	21	82	82	1.5	1/2	1/2	Chord	4/4	3	2	3/8		1/4	3/2	412													
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	413													
21	21	80	80	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	414													
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	415										30			
21	21	81	81	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	416													
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	417			articStaccatoAbove										
21	21	82	82	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	418			articStaccatoAbove										
21	21	165/2	165/2	0.0	5/8	5/8	Spanner	4/4	4	2	0															6		
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	419										31	6		
21	21	83	83	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	420											6		
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	421											6		
22	22	84	84	0.0	0	0	StaffText	4/4	1	1	0								dol.									
22	22	84	84	0.0	0	0	Dynamic	4/4	1	1	0						pp											
22	22	84	84	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	422	dum												
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	423	pen-												
22	22	86	86	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	424	-de-		articAccentAbove							32			
22	22	87	87	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	425													
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	426	-bat												
22	22	84	84	0.0	0	0	StaffText	4/4	2	1	0								dol.									
22	22	84	84	0.0	0	0	Dynamic	4/4	2	1	0						pp											
22	22	84	84	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	427	dum												
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	428	pen-												
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	429	-de-												
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	430													
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	431	-bat												
22	22	84	84	1.5	0	0	Chord	4/4	3	1	3/8		1/4	3/2	432													
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	433													
22	22	86	86	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	434			articAccentAbove							33			
22	22	87	87	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	435													
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	436													
22	22	84	84	0.0	0	0	StaffText	4/4	4	1	0								dol.									
22	22	84	84	0.0	0	0	Dynamic	4/4	4	1	0						pp											
22	22	84	84	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	437													
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	438													
22	22	85	85	1.0	1/4	1/4	Chord	4/4	4	1	1/4		1/4	1	439													
22	22	86	86	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	440										34			
22	22	87	87	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	441													
22	22	84	84	0.0	0	0	Spanner	4/4	4	2	0																	
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	442													
22	22	87	87	1.0	3/4	3/4	Chord	4/4	4	2	1/4		1/4	1	443													
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	444	fi-		articAccentAbove							35			
23	23	89	89	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	445										35			
23	23	357/4	357/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	446													
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	447	-li-												
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	448	-us,												
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	449	fi-		articAccentAbove							36			
23	23	89	89	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	450										36			
23	23	357/4	357/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	451													
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	452	-li-												
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	453	-us,												
23	23	88	88	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	454													
23	23	89	89	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	455													
23	23	90	90	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	456													
23	23	88	88	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	457										37			
23	23	89	89	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	458										37			
23	23	90	90	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	459													
23	23	88	88	0.0	0	0	Spanner	4/4	4	1	0															7		
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	460											7		
23	23	89	89	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	461											7		
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	462											7		
23	23	90	90	0.0	1/2	1/2	Spanner	4/4	4	1	0																	
23	23	90	90	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	463													
24	24	92	92	0.0	0	0	Dynamic	4/4	1	1	0						p											
24	24	92	92	0.0	0	0	Spanner	4/4	1	1	0																	0
24	24	92	92	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	464	dum												0
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	465	pen												0
24	24	94	94	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p											
24	24	94	94	0.0	1/2	1/2	Spanner	4/4	2	1	0																	1
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	466	dum												1
24	24	92	92	4.0	0	0	Chord	4/4	3	1	1		1	1	467										38			
24	24	92	92	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	468													
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	469													
24	24	93	93	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	470													
