mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									Andanteamoroso	55.0			1.0				
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									𝅘𝅥.=63	95.0	𝅘𝅥.	63.0	0.0				
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	0													
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	1													
1	1	0	0	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	2													
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	3													
1	1	0	0	1.5	0	0	Chord	3/8	2	3	3/8		1/4	3/2	4													
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0						p											
1	1	0	0	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	5													
1	1	1	1	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	6													
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	7													
2	2	2	2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	8													
2	2	3/2	3/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	9													
2	2	3/2	3/2	0.0	0	0	Spanner	3/8	3	1	0															0		
2	2	3/2	3/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	10											0		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	11											0		
2	2	3/2	3/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	12											0		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	13											0		
3	3	3	3	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	14													
3	3	7/2	7/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	15			articTenutoAbove										
3	3	3	3	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	16													
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	17													
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	18											0		
3	3	7/2	7/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	19											0		
3	3	4	4	0.0	1/4	1/4	Spanner	3/8	3	1	0																	
3	3	3	3	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	20													
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	21													
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	22			articStaccatoAbove										
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	23			articStaccatoAbove										
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	24													
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	25													
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	3	1	0						f											
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	26													
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	27													
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	28													
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	29													
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	30			articStaccatoAbove										
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	31													
5	5	6	6	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	32													
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	33													
5	5	6	6	1.5	0	0	Chord	3/8	2	3	3/8		1/4	3/2	34													
5	5	6	6	0.0	0	0	Dynamic	3/8	3	1	0						p											
5	5	6	6	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	35													
5	5	7	7	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	36													
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	37			articStaccatoAbove										
6	6	8	8	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	38													
6	6	15/2	15/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	39													
6	6	15/2	15/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	40													
6	6	17/2	17/2	0.0	1/4	1/4	Spanner	3/8	3	1	0															1		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	41											1		
6	6	15/2	15/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	42											1		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	43											1		
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	44			articStaccatoAbove										
7	7	19/2	19/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	45													
7	7	9	9	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	46													
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	47													
7	7	9	9	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	48											1		
7	7	19/2	19/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	49											1		
7	7	9	9	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	50											1		
7	7	10	10	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	51											1		
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	52			articStaccatoAbove										
8	8	11	11	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	53			articStaccatoAbove										
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	54													
8	8	11	11	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	55													
8	8	21/2	21/2	0.0	0	0	Dynamic	3/8	3	1	0						f											
8	8	21/2	21/2	0.0	0	0	Spanner	3/8	3	1	0																	
8	8	21/2	21/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	56			articStaccatoAbove										
8	8	11	11	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	57			articStaccatoAbove										
8	8	21/2	21/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	58													
8	8	11	11	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	59													
9	9	12	12	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	60										0			
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	61										0			
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	62													
9	9	13	13	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	63			articStaccatoAbove										
9	9	12	12	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	64													
9	9	12	12	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	65													
9	9	49/4	49/4	0.0	1/16	1/16	Dynamic	3/8	3	1	0						other-dynamics											
10	10	27/2	27/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	66										1			
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	67										1			
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	68													
10	10	27/2	27/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	69													
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	70													
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	71													
10	10	27/2	27/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	72													
10	10	14	14	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	73										2			
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	74													
11	11	15	15	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	75										3			
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	76										3			
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	77													
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	78			articStaccatoAbove										
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	79													
11	11	15	15	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	80													
11	11	15	15	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	81													
12	12	33/2	33/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	82													
12	12	33/2	33/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	83													
12	12	17	17	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	84													
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	85													
13	13	18	18	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	86			articStaccatoAbove										
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	87										4			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	88													
13	13	18	18	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	89			articStaccatoAbove										
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	90										5			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	91													
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	92			articStaccatoAbove										
14	14	20	20	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	93			articStaccatoAbove										
14	14	39/2	39/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	94													
14	14	39/2	39/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	95													
15	15	21	21	0.0	0	0	Chord	3/8	2	1	0	appoggiatura	1/8	1	96													
15	15	21	21	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	97			ornamentTrill										
15	15	21	21	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	98													
15	15	21	21	0.0	0	0	Dynamic	3/8	3	1	0						f											
15	15	43/2	43/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	99													
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	100			articStaccatoBelow										
15	15	22	22	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	101			articStaccatoBelow										
16	16	45/2	45/2	0.0	0	0	Chord	3/8	2	1	0	appoggiatura	1/8	1	102													
16	16	45/2	45/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	103			ornamentTrill										
16	16	45/2	45/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	104													
16	16	45/2	45/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	105			articStaccatoAbove										
16	16	23	23	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	106			articStaccatoAbove										
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	107			articStaccatoAbove										
17	17	24	24	0.0	0	0	Chord	3/8	2	1	0	appoggiatura	1/8	1	108													
17	17	24	24	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	109			ornamentTrill										
17	17	24	24	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	110													
17	17	24	24	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	111													
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	112													
17	17	25	25	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	113													
17	17	49/2	49/2	1.0	1/8	1/8	Chord	3/8	3	2	1/4		1/4	1	114													
18	18	51/2	51/2	0.0	0	0	Chord	3/8	2	1	0	appoggiatura	1/8	1	115													
18	18	51/2	51/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	116			ornamentTrill										
18	18	51/2	51/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	117													
18	18	26	26	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	118													
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	119													
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	120													
18	18	26	26	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	121													
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	122													
19	19	27	27	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	123													
19	19	27	27	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	124										6			
19	19	55/2	55/2	0.0	1/8	1/8	Dynamic	3/8	3	1	0						p											
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	125													
19	19	28	28	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	126													
20	20	57/2	57/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	127													
20	20	29	29	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	128													
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	129													
20	20	57/2	57/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	130													
20	20	57/2	57/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	131													
20	20	29	29	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	132													
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	133													
21	21	30	30	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	134										7			
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	135										7			
21	21	31	31	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	136													
21	21	30	30	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	137										8			
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	138										8			
21	21	31	31	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	139													
22	22	63/2	63/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	140										9			
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	141													
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	142			articStaccatoAbove										
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	143			articStaccatoAbove										
22	22	63/2	63/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	144													
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	145													
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	146													
22	22	63/2	63/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	147										10			
22	22	32	32	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	148													
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	149													
23	23	33	33	0.0	0	0	Spanner	3/8	2	1	0																	0
23	23	33	33	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	150													0
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	151													0
23	23	34	34	0.0	1/4	1/4	Spanner	3/8	2	1	0																	
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	152													
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	153													
23	23	33	33	0.0	0	0	Spanner	3/8	3	1	0																	1
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	154													1
23	23	34	34	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	155													1
24	24	69/2	69/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	156										11			
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	157										11			
24	24	35	35	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	158													
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	159													
24	24	69/2	69/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	160													
24	24	35	35	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	161													
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	162													
24	24	69/2	69/2	0.0	0	0	Dynamic	3/8	3	1	0						pp											
24	24	69/2	69/2	0.0	0	0	Spanner	3/8	3	1	0																	
24	24	69/2	69/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	163										12			
24	24	35	35	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	164													
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	165													
25	25	36	36	0.0	0	0	Dynamic	3/8	2	1	0						f											
25	25	36	36	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	166													
25	25	73/2	73/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	167													
25	25	37	37	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	168													
25	25	73/2	73/2	0.0	1/8	1/8	Dynamic	3/8	3	1	0						f											
25	25	73/2	73/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	169													
25	25	37	37	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	170													
26	26	75/2	75/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	171			articStaccatoAbove										
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	172													
26	26	38	38	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	173			articStaccatoAbove										
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	174			articStaccatoAbove										
26	26	75/2	75/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	175													
26	26	38	38	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	176													
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	177													
26	26	75/2	75/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	178													
26	26	38	38	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	179													
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	180													
27	27	39	39	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	181													
27	27	79/2	79/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	182													
27	27	39	39	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	183													
28	28	81/2	81/2	0.0	0	0	Dynamic	3/8	1	1	0						p											
28	28	81/2	81/2	0.0	0	0	StaffText	3/8	1	1	0								Sopr. solo									
28	28	81/2	81/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	184	Cu-		articStaccatoAbove										
28	28	41	41	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	185	-jus												
28	28	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	186			articStaccatoAbove										
28	28	41	41	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	187			articStaccatoAbove										
28	28	81/2	81/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	188													
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	189													
28	28	81/2	81/2	1.5	0	0	Chord	3/8	2	3	3/8		1/4	3/2	190													
28	28	81/2	81/2	0.0	0	0	Dynamic	3/8	3	1	0						p											
28	28	81/2	81/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	191													
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	192													
29	29	42	42	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	193	a-		articStaccatoAbove										
29	29	85/2	85/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	194	-ni-												
29	29	42	42	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	195													
29	29	85/2	85/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	196													
29	29	42	42	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	197													
29	29	42	42	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	198													
29	29	43	43	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	199													
29	29	42	42	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	200													
29	29	43	43	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	201													
30	30	87/2	87/2	0.0	0	0	Spanner	3/8	1	1	0															2		
30	30	87/2	87/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	202	-mam		articStaccatoAbove								2		
30	30	44	44	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	203	ge-										2		
30	30	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	204													
30	30	44	44	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	205													
30	30	87/2	87/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	206													
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	207													
30	30	87/2	87/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	208													
30	30	44	44	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	209													
30	30	87/2	87/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	210													
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	211													
31	31	45	45	0.0	0	0	Dynamic	3/8	1	1	0						f											
31	31	45	45	0.0	0	0	Spanner	3/8	1	1	0																	
31	31	45	45	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	212	-men-		articStaccatoAbove										
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	213	-tem		articStaccatoAbove										
31	31	45	45	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	214													
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	215													
31	31	45	45	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	216			articStaccatoBelow										
