mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									Andantino	55.0			1.0					
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									"𝅘𝅥.=63
"	95.0	𝅘𝅥.	63.0	0.0					
1	1	0	0	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	0			articStaccatoAbove											
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	1			articTenutoStaccatoAbove											
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	2			articTenutoStaccatoAbove											
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0						other-dynamics												
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	2	1/16		1/16	1	3														
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16		1/16	1	4														
2	2	2	2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	5														
2	2	3/2	3/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	6														
2	2	3/2	3/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	7														
2	2	2	2	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	8														
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	9														
3	3	3	3	0.25	0	0	Chord	3/8	2	2	1/16		1/16	1	10										0				
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16		1/16	1	11										0				
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	12														
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	13			articStaccatoAbove											
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	14										1				
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	15										1				
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	16														
4	4	9/2	9/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	17														
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	18														
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	19										2				
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	20														
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	21														
4	4	5	5	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	22														
4	4	9/2	9/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	23														
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	24										3				
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	25										3				
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	26														
5	5	6	6	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	27										4				
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	28										4				
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	29														
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	30														
5	5	6	6	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	31														
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	32														
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	33														
5	5	6	6	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	34										5				
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	35										5				
5	5	7	7	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	36														
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	37										6				
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	38										6				
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	39														
6	6	15/2	15/2	0.0	0	0	Dynamic	3/8	3	1	0						p												
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	40														
6	6	8	8	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	41														
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	42														
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	43										7				
6	6	8	8	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	44										7				
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	45														
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	46										8				
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	47										8				
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	48														
7	7	9	9	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	49										9				
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	50										9				
7	7	9	9	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	51										10				
7	7	10	10	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	52														
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	53														
8	8	11	11	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	54			articAccentAbove											
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	55														
8	8	11	11	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	56										11				
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	57														
8	8	21/2	21/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	58										12				
8	8	11	11	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	59										12				
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	60														
9	9	12	12	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	61			articStaccatoAbove											
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	62			articStaccatoAbove											
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	63			articStaccatoAbove											
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	64			articStaccatoAbove											
9	9	13	13	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	65			articStaccatoAbove											
9	9	12	12	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	66														
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	67														
9	9	13	13	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	68														
9	9	12	12	0.0	0	0	Dynamic	3/8	3	1	0						f												
9	9	12	12	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	69														
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	70														
9	9	13	13	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	71														
10	10	27/2	27/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	72										13				
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	73										13				
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	74														
10	10	27/2	27/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	75														
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	76														
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	77														
10	10	27/2	27/2	0.0	0	0	Dynamic	3/8	3	1	0						p												
10	10	27/2	27/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	78														
10	10	27/2	27/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	79										14				
10	10	14	14	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	80														
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	81														
11	11	15	15	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	82			articStaccatoAbove											
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	83			articStaccatoAbove											
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	84			articStaccatoAbove											
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	85			articStaccatoAbove											
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	86			articStaccatoAbove											
11	11	15	15	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	87														
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	88														
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	89														
11	11	15	15	0.0	0	0	Dynamic	3/8	3	1	0						f												
11	11	15	15	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	90														
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	91														
11	11	16	16	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	92														
12	12	33/2	33/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	93										15				
12	12	17	17	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	94										15				
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	95														
12	12	33/2	33/2	0.0	0	0	Dynamic	3/8	3	1	0						p												
12	12	33/2	33/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	96														
12	12	33/2	33/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	97										16				
12	12	17	17	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	98														
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	99														
13	13	18	18	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	100														
13	13	18	18	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	101														
14	14	39/2	39/2	0.0	0	0	StaffText	3/8	1	1	0								Alto Solo										
14	14	39/2	39/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	102	E-													
14	14	20	20	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	103	-ja									17				
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	104														
14	14	39/2	39/2	0.0	0	0	Dynamic	3/8	2	1	0						p												
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	105														
14	14	20	20	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	106														
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	107														
15	15	21	21	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	108	ma-									18				
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	109														
15	15	43/2	43/2	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura	1/8	1	110														
15	15	43/2	43/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	111	-ter													
15	15	21	21	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	112										19				
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	113										19				
15	15	43/2	43/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	114														
15	15	21	21	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	115														
15	15	21	21	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	116														
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	117														
15	15	22	22	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	118														
16	16	45/2	45/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	119	fons									20				
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	120										20				
16	16	23	23	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	121														
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	122	a-													
16	16	45/2	45/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	123										21				
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	124										21				
16	16	23	23	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	125														
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	126														
16	16	45/2	45/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	127										22				
16	16	23	23	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	128										22				
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	129														
17	17	24	24	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	130	-mo-									23				
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	131														
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	132	-ris,									24				
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	133														
17	17	24	24	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	134														
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	135														
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	136										25				
17	17	25	25	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	137														
17	17	24	24	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	138														
17	17	49/2	49/2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	139														
17	17	24	24	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	140										26				
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	141										26				
17	17	25	25	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	142														
17	17	24	24	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	143														
18	18	51/2	51/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	144	fons									27				
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	145										27				
18	18	26	26	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	146														
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	147	a-													
18	18	51/2	51/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	148										28				
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	149										28				
18	18	26	26	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	150														
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	151														
18	18	51/2	51/2	0.0	0	0	Dynamic	3/8	3	1	0						pp												
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	152										29				
18	18	26	26	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	153										29				
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	154														
19	19	27	27	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	155	-mo-									30				
19	19	163/6	163/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	156										30				
19	19	82/3	82/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	157														
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	158	-ris!													
19	19	27	27	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	159										31				
19	19	163/6	163/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	160										31				
19	19	82/3	82/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	161														
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	162														
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	163										32				
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	164										32				
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	165														
19	19	27	27	0.0	0	0	Spanner	3/8	3	1	0																	0	
19	19	27	27	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	166										33			0	
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	167										33			0	
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	168										33			0	
19	19	111/4	111/4	0.0	3/16	3/16	Dynamic	3/8	3	1	0						mp								33				
19	19	111/4	111/4	0.0	3/16	3/16	Spanner	3/8	3	1	0														33				
19	19	111/4	111/4	0.0	3/16	3/16	Spanner	3/8	3	1	0														33	0			
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	169										33	0			
19	19	28	28	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	170										33	0			
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	171											0			
20	20	57/2	57/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	172	me									34				
20	20	29	29	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	173														
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	174	sen-													
20	20	57/2	57/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	175														
20	20	29	29	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	176														
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	177														
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	3	1	0						p												
20	20	57/2	57/2	0.0	0	0	Spanner	3/8	3	1	0																		
20	20	57/2	57/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	178														
21	21	30	30	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	179	-ti-									35				
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	180														
21	21	61/2	61/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	181	-re													
21	21	30	30	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	182										36				
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	183										36				
21	21	61/2	61/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	184														
21	21	30	30	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	185														
21	21	30	30	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	186														
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	187														
21	21	31	31	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	188														
22	22	63/2	63/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	189	vim									37				
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	190										37				
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	191														
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	192	do-													
22	22	63/2	63/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	193										38				
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	194										38				
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	195														
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	196														
22	22	63/2	63/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	197										39				
22	22	32	32	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	198										39				
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	199														
23	23	33	33	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	200	-lo-									40				
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	201														
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	202	-ris									41				
23	23	34	34	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	203														
23	23	33	33	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	204														
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	205														
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	206										42				
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	207														
23	23	33	33	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	208														
23	23	67/2	67/2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	209														
23	23	33	33	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	210														
23	23	33	33	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	211														
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	212														
23	23	34	34	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	213														
24	24	69/2	69/2	0.0	0	0	Dynamic	3/8	1	1	0						p												
24	24	69/2	69/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	214	vim									43				
