mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	HairPin:3_smorz..	crescendo_line	crescendo_hairpin	decrescendo_hairpin
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	248															
12	12	44	44	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	249															
12	12	45	45	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	250															
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	251															
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	252															
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	253	a-									65					
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	254															
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	255	-ni-														
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	256	-mae									66					
13	13	101/2	101/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	257															
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	258	do-									67					
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	259															
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	260										68					
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	261										68					
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	262															
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	263										69					
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	264										69					
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	265															
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	266										70					
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	267										70					
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	268															
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	269										71					
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	270										71					
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	271															
13	13	48	48	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	272															
13	13	49	49	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	273															
13	13	50	50	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	274															
13	13	51	51	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	275															
14	14	52	52	0.0	0	0	Dynamic	4/4	1	1	0					p													
14	14	52	52	0.0	0	0	Spanner	4/4	1	1	0																0		
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	276	pa-												0		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	277	-ra-												0		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	278	-di-												0		
14	14	52	52	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	279	-ne-									72					
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	280															
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	281	-tur														
14	14	54	54	0.0	1/2	1/2	Dynamic	4/4	2	1	0					mp													
14	14	54	54	0.0	1/2	1/2	Spanner	4/4	2	1	0																1		
14	14	54	54	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	282	pa-												1		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	283	-ra-												1		
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	284										73					
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	285										73					
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	286															
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	287										74					
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	288										74					
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	289															
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	290										75					
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	291										75					
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	292															
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	293										76					
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	294										76					
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	295															
14	14	52	52	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	296															
14	14	53	53	0.0	1/4	1/4	Spanner	4/4	4	1	0																2		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	297													2		
14	14	54	54	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	298													2		
14	14	55	55	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	299													2		
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	300													0		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	301	-si												0		
15	15	58	58	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	302	glo-												0		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	303	-ri-												0		
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	304	-di-												1		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	305	-si												1		
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	306	glo-									77			1		
15	15	59	59	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	307													1		
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	308	-ri-												1		
15	15	225/4	225/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	309										78					
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	310										78					
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	311															
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	312										79					
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	313										79					
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	314															
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	315										80					
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	316										80					
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	317															
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	318										81					
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	319										81					
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	320															
15	15	56	56	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	321													2		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	322													2		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	323													2		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	324													2		
16	16	60	60	0.0	0	0	Dynamic	4/4	1	1	0					mf													
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0																		
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	325	-a.														
16	16	60	60	0.0	0	0	Dynamic	4/4	2	1	0					mf													
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0																		
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	326	-a.														
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	327										82					
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	328										82					
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	329															
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	330										83					
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	331										83					
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	332															
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	333										84					
16	16	125/2	125/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	334										84					
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	335															
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	336										85					
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	337										85					
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	338															
16	16	60	60	0.0	0	0	Dynamic	4/4	4	1	0					mf													
16	16	60	60	0.0	0	0	Spanner	4/4	4	1	0																		
16	16	60	60	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	339															
16	16	61	61	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	340															
16	16	62	62	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	341															
16	16	125/2	125/2	0.0	5/8	5/8	Spanner	4/4	4	1	0																		2
16	16	63	63	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	342															2
17	17	66	66	0.0	1/2	1/2	Dynamic	4/4	1	1	0					mp													
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	343	Quan-														
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	344	-do														
17	17	64	64	0.0	0	0	Dynamic	4/4	2	1	0					mp													
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	345	Quan-														
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	346	-do														
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	347	cor-														
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	348										86					
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	349										86					
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	350															
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	351										87					
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	352										87					
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	353															
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	354										88					
17	17	133/2	133/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	355										88					
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	356															
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	357										89					
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	358										89					
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	359															
17	17	64	64	0.0	0	0	Dynamic	4/4	4	1	0					p													
17	17	64	64	0.0	0	0	Spanner	4/4	4	1	0																		
17	17	64	64	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	360															
17	17	65	65	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	361															
17	17	66	66	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	362															
17	17	67	67	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	363															
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	364	cor-														
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	365	-pus														
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	366	mo-														
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	367	-pus														
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	368	mo-														
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	369										90					
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	370										90					
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	371															
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	372										91					
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	373										91					
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	374															
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	375										92					
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	376										92					
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	377															
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	378										93					
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	379										93					
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	380															
18	18	68	68	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	381															
18	18	69	69	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	382															
18	18	70	70	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	383															
18	18	71	71	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	384															
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	385	-ri-														
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	386	-e-									94					
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	387															
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	388	-ri-														
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	389	-e-														
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	390										95					
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	391										95					
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	392															
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	393										96					
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	394										96					
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	395															
19	19	297/4	297/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	396										97					
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	397										97					
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	398															
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	399										98					
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	400										98					
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	401															
19	19	72	72	0.0	0	0	Spanner	4/4	4	1	0														0				
19	19	72	72	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	402											0				
19	19	73	73	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	403											0				
19	19	74	74	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	404											0				
19	19	75	75	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	405											0				
20	20	76	76	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	406	-tur									99					
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	407															
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	1	1	0																	4	
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	408	fac													4	
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	409	ut													4	
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	410	-tur														
20	20	77	77	0.0	1/4	1/4	Spanner	4/4	2	1	0																	5	
20	20	77	77	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	411	fac													5	
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	412	ut													5	
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	413										100					
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	414										100					
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	415															
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	416										101					
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	417										101					
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	418															
20	20	313/4	313/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	419										102					
20	20	157/2	157/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	420										102					
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	421															
20	20	317/4	317/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	422										103					
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	423										103					
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	424															
20	20	76	76	0.0	0	0	Dynamic	4/4	4	1	0					pp													
20	20	76	76	0.0	0	0	Spanner	4/4	4	1	0																		
20	20	76	76	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	425															
20	20	77	77	0.0	1/4	1/4	Dynamic	4/4	4	1	0					p													
20	20	77	77	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	426															
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	4	1	0																	6	
20	20	78	78	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	427														6	
20	20	79	79	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	428														6	
21	21	80	80	0.0	0	0	Dynamic	4/4	1	1	0					f													
21	21	80	80	0.0	0	0	Spanner	4/4	1	1	0																		
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	429	a-														
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	430	-ni-														
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	431	-mae														
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	432	do-														
21	21	80	80	0.0	0	0	Dynamic	4/4	2	1	0					f													
21	21	80	80	0.0	0	0	Spanner	4/4	2	1	0																		
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	433	a-														
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	434	-ni-														
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	435	-mae														
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	436	do-														
21	21	321/4	321/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	437										104					
21	21	161/2	161/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	438										104					
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	439															
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	440										105					
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	441										105					
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	442															
21	21	329/4	329/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	443										106					
21	21	165/2	165/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	444										106					
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	445															
21	21	333/4	333/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	446										107					
21	21	167/2	167/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	447										107					
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	448															
21	21	80	80	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	449														6	
21	21	81	81	0.0	1/4	1/4	Dynamic	4/4	4	1	0					mf													
21	21	81	81	0.0	1/4	1/4	Spanner	4/4	4	1	0																		
21	21	81	81	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	450															
21	21	82	82	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	451															
21	21	83	83	0.0	3/4	3/4	Spanner	4/4	4	1	0																		3
21	21	83	83	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	452															3
22	22	84	84	0.0	0	0	Spanner	4/4	1	1	0																		4
22	22	84	84	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	453	-ne-									108					4
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	454															4
22	22	169/2	169/2	1.5	1/8	1/8	Chord	4/4	1	1	3/8	1/4	3/2	455	-tur														4
22	22	86	86	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p													
22	22	86	86	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
22	22	86	86	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	456	pa-														
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	457	-ra-														
22	22	84	84	0.0	0	0	Spanner	4/4	2	1	0																		5
22	22	84	84	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	458	-ne-									109					5
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	459															5
22	22	85	85	0.0	1/4	1/4	Dynamic	4/4	2	1	0					p													
22	22	85	85	0.0	1/4	1/4	Spanner	4/4	2	1	0																		
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	460	-tur														
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	461										110					
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	462										110					
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	463															
22	22	341/4	341/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	464										111					
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	465										111					
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	466															
22	22	345/4	345/4	0.25	9/16	9/16	Chord	4/4	3	1	1/16	1/16	1	467										112					
22	22	173/2	173/2	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	468										112					
22	22	347/4	347/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	469															
22	22	349/4	349/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16	1/16	1	470										113					
22	22	175/2	175/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	471										113					
22	22	351/4	351/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	472															
22	22	84	84	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	473															3
22	22	85	85	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	474															3
22	22	86	86	0.0	1/2	1/2	Dynamic	4/4	4	1	0					p													
22	22	86	86	0.0	1/2	1/2	Spanner	4/4	4	1	0																		
22	22	86	86	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	475															
22	22	87	87	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	476															
23	23	88	88	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	477	-di-									114					
23	23	177/2	177/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	478															
