mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
2	2	2	2.0	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
3	3	4	1.0	0	0	2/4	2	1	V65(2)				V65(2)	V		65	2					Mm7	5, 2, -1, -4		1	5
3	3	5	0.5	1/4	1/4	2/4	2	1	V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1
3	3	11/2	0.5	3/8	3/8	2/4	2	1	V				V	V								M	1, 5, 2		1	1
4	4	6	2.0	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0
5	5	8	1.0	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
5	5	9	0.5	1/4	1/4	2/4	2	1	V6(9)				V6(9)	V		6	9					M	5, 2, 1	-4	1	5
5	5	19/2	0.5	3/8	3/8	2/4	2	1	V6				V6	V		6						M	5, 2, 1		1	5
6	6	10	2.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
7	7	12	1.0	0	0	2/4	2	1	I6{				I6	I		6					{	M	4, 1, 0		0	4
7	7	13	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
8	8	14	1.0	0	0	2/4	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
8	8	15	1.0	1/4	1/4	2/4	2	1	V6				V6	V		6						M	5, 2, 1		1	5
9	9	16	1.0	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0
9	9	17	1.0	1/4	1/4	2/4	2	1	vii%7/V				vii%7/V	vii	%	7		V				%7	6, 3, 0, 4		6	6
10	10	18	0.5	0	0	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
10	10	37/2	0.5	1/8	1/8	2/4	2	1	V}				V	V							}	M	1, 5, 2		1	1
10	10	19	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
11	11	20	1.0	0	0	2/4	2	1	IV{				IV	IV							{	M	-1, 3, 0		-1	-1
11	11	21	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
12	12	22	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
12	12	23	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
13	13	24	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
13	13	25	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
14	14	26	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
14	14	27	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
15	15	28	1.0	0	0	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
15	15	29	1.0	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
16	16	30	1.0	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
16	16	31	1.0	1/4	1/4	2/4	2	1	ii64				ii64	ii		64						m	3, 2, -1		2	3
17	17	32	1.0	0	0	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
17	17	33	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
18	18	34	0.5	0	0	2/4	2	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0
18	18	69/2	0.5	1/8	1/8	2/4	2	1	I				I	I								M	0, 4, 1		0	0
18	18	35	1.0	1/4	1/4	2/4	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
19	19	36	1.0	0	0	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
19	19	37	1.0	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
20	20	38	1.0	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0
20	20	39	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
21	21	40	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
21	21	41	0.5	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
21	21	83/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
22	22	42	1.0	0	0	2/4	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
22	22	43	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
23	23	44	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
23	23	45	0.5	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
23	23	91/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
24	24	46	2.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
25	25	48	2.0	0	0	2/4	2	1	I{				I	I							{	M	0, 4, 1		0	0
26	26	50	2.0	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
27	27	52	1.0	0	0	2/4	2	1	V65(2)				V65(2)	V		65	2					Mm7	5, 2, -1, -4		1	5
27	27	53	0.5	1/4	1/4	2/4	2	1	V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1
27	27	107/2	0.5	3/8	3/8	2/4	2	1	V				V	V								M	1, 5, 2		1	1
28	28	54	2.0	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0
29	29	56	1.0	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
29	29	57	0.5	1/4	1/4	2/4	2	1	V65(9)				V65(9)	V		65	9					Mm7	5, 2, -1, 1	-4	1	5
29	29	115/2	0.5	3/8	3/8	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
30	30	58	2.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
31	31	60	1.0	0	0	2/4	2	1	I6{				I6	I		6					{	M	4, 1, 0		0	4
31	31	61	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
32	32	62	1.0	0	0	2/4	2	1	ii				ii	ii								m	2, -1, 3		2	2
32	32	63	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
33	33	64	1.0	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0
33	33	65	1.0	1/4	1/4	2/4	2	1	vii%7/V				vii%7/V	vii	%	7		V				%7	6, 3, 0, 4		6	6
34	34	66	0.5	0	0	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
34	34	133/2	1.5	1/8	1/8	2/4	2	1	V}				V	V							}	M	1, 5, 2		1	1
35	35	68	1.0	0	0	2/4	2	1	V.I6{		V		I6	I		6					{	M	4, 1, 0		0	4
35	35	69	1.0	1/4	1/4	2/4	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6
36	36	70	1.0	0	0	2/4	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
36	36	71	1.0	1/4	1/4	2/4	2	1	V				V	V								M	1, 5, 2		1	1
37	37	72	1.0	0	0	2/4	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
37	37	73	1.0	1/4	1/4	2/4	2	1	viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6
38	38	74	1.0	0	0	2/4	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
38	38	75	1.0	1/4	1/4	2/4	2	1	V6				V6	V		6						M	5, 2, 1		1	5
39	39	76	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
39	39	77	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
40	40	78	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
40	40	79	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
41	41	80	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
41	41	81	1.0	1/4	1/4	2/4	2	1	#viio6				#viio6	#vii	o	6						o	2, -1, 5		5	2
42	42	82	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
42	42	83	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
43	43	84	1.0	0	0	2/4	2	1	ii				ii	ii								m	2, -1, 3		2	2
43	43	85	1.0	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
44	44	86	1.0	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
44	44	87	1.0	1/4	1/4	2/4	2	1	IV43				IV43	IV		43						Mm7	0, -3, -1, 3		-1	0
45	45	88	1.0	0	0	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
45	45	89	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
46	46	90	1.0	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0
46	46	91	1.0	1/4	1/4	2/4	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
47	47	92	1.0	0	0	2/4	2	1	V				V	V								M	1, 5, 2		1	1
47	47	93	1.0	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
48	48	94	1.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
48	48	95	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
49	49	96	1.0	0	0	2/4	2	1	IV{				IV	IV							{	M	-1, 3, 0		-1	-1
49	49	97	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
50	50	98	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
50	50	99	1.0	1/4	1/4	2/4	2	1	V				V	V								M	1, 5, 2		1	1
51	51	100	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
51	51	101	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
52	52	102	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
52	52	103	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
53	53	104	1.0	0	0	2/4	2	1	ii				ii	ii								m	2, -1, 3		2	2
53	53	105	1.0	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
54	54	106	1.0	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
54	54	107	1.0	1/4	1/4	2/4	2	1	IV43				IV43	IV		43						Mm7	0, -3, -1, 3		-1	0
55	55	108	1.0	0	0	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
55	55	109	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
56	56	110	0.5	0	0	2/4	2	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0
56	56	221/2	0.5	1/8	1/8	2/4	2	1	I				I	I								M	0, 4, 1		0	0
56	56	111	1.0	1/4	1/4	2/4	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
57	57	112	1.0	0	0	2/4	2	1	V				V	V								M	1, 5, 2		1	1
57	57	113	1.0	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
58	58	114	1.0	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0
58	58	115	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
59	59	116	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
59	59	117	0.5	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
59	59	235/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
60	60	118	1.0	0	0	2/4	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
60	60	119	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
61	61	120	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
61	61	121	0.5	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
61	61	243/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
62	62	122	2.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
63	63	124	1.0	0	0	2/4	2	1	v.iv{		v		iv	iv							{	m	-1, -4, 0		-1	-1
63	63	125	1.0	1/4	1/4	2/4	2	1	iv2				iv2	iv		2						mm7	-3, -1, -4, 0		-1	-3
64	64	126	1.0	0	0	2/4	2	1	viio/III				viio/III	vii	o			III				o	2, -1, -4		2	2
64	64	127	1.0	1/4	1/4	2/4	2	1	iv43				iv43	iv		43						mm7	0, -3, -1, -4		-1	0
65	65	128	1.0	0	0	2/4	2	1	viio7				viio7	vii	o	7						o7	-2, -5, -8, -11		-2	-2
65	65	129	1.0	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
66	66	130	1.0	0	0	2/4	2	1	i				i	i								m	0, -3, 1		0	0
66	66	131	1.0	1/4	1/4	2/4	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
67	67	132	1.0	0	0	2/4	2	1	ii%65				ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
67	67	133	1.0	1/4	1/4	2/4	2	1	V				V	V								M	1, 5, 2		1	1
68	68	134	1.0	0	0	2/4	2	1	i}{				i	i							}{	m	0, -3, 1		0	0
68	68	135	1.0	1/4	1/4	2/4	2	1	i6				i6	i		6						m	-3, 1, 0		0	-3
69	69	136	1.0	0	0	2/4	2	1	ii%65				ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
69	69	137	1.0	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
70	70	138	1.0	0	0	2/4	2	1	I.ii}{		I		ii	ii							}{	m	2, -1, 3		2	2
70	70	139	1.0	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
71	71	140	1.0	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
71	71	141	1.0	1/4	1/4	2/4	2	1	ii43				ii43	ii		43						mm7	3, 0, 2, -1		2	3
72	72	142	1.0	0	0	2/4	2	1	V7(9)				V7(9)	V		7	9					Mm7	1, 5, 2, -1	-4	1	1
72	72	143	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
73	73	144	1.0	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0
73	73	145	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
74	74	146	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
74	74	147	0.5	1/4	1/4	2/4	2	1	V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1
74	74	295/2	0.5	3/8	3/8	2/4	2	1	V				V	V								M	1, 5, 2		1	1
75	75	148	1.0	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0
75	75	149	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
76	76	150	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
76	76	151	0.5	1/4	1/4	2/4	2	1	V(6)				V(6)	V			6					M	1, 5, -3		1	1
76	76	303/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
77	77	152	1.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
77	77	153	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
78	78	154	1.0	0	0	2/4	2	1	IV{				IV	IV							{	M	-1, 3, 0		-1	-1
78	78	155	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
79	79	156	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
79	79	157	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
80	80	158	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
80	80	159	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
81	81	160	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
81	81	161	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
82	82	162	1.0	0	0	2/4	2	1	ii				ii	ii								m	2, -1, 3		2	2
82	82	163	1.0	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
83	83	164	1.0	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
83	83	165	1.0	1/4	1/4	2/4	2	1	ii43				ii43	ii		43						mm7	3, 0, 2, -1		2	3
84	84	166	1.0	0	0	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
84	84	167	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
85	85	168	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
85	85	169	1.0	1/4	1/4	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
86	86	170	1.0	0	0	2/4	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
86	86	171	1.0	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
87	87	172	1.0	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0
87	87	173	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
88	88	174	1.0	0	0	2/4	2	1	IV{				IV	IV							{	M	-1, 3, 0		-1	-1
88	88	175	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
89	89	176	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
89	89	177	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
90	90	178	1.0	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
90	90	179	1.0	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
91	91	180	1.0	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
91	91	181	1.0	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0
92	92	182	1.0	0	0	2/4	2	1	ii				ii	ii								m	2, -1, 3		2	2
92	92	183	1.0	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
93	93	184	1.0	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2
93	93	185	1.0	1/4	1/4	2/4	2	1	ii43				ii43	ii		43						mm7	3, 0, 2, -1		2	3
94	94	186	1.0	0	0	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
94	94	187	1.0	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
95	95	188	0.5	0	0	2/4	2	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0
95	95	377/2	0.5	1/8	1/8	2/4	2	1	I				I	I								M	0, 4, 1		0	0
95	95	189	1.0	1/4	1/4	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
96	96	190	1.0	0	0	2/4	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
96	96	191	1.0	1/4	1/4	2/4	2	1	V				V	V								M	1, 5, 2		1	1
97	97	192	1.0	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0
97	97	193	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
98	98	194	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
98	98	195	0.5	1/4	1/4	2/4	2	1	V(6)				V(6)	V			6					M	1, 5, -3		1	1
98	98	391/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
99	99	196	1.0	0	0	2/4	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
99	99	197	1.0	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4
100	100	198	1.0	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
100	100	199	0.5	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
100	100	399/2	0.5	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
101	101	200	0.5	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0
101	101	401/2	1.0	1/8	1/8	2/4	2	1	#viio43/V				#viio43/V	#vii	o	43		V				o7	0, -3, 6, 3		6	0
101	101	403/2	0.5	3/8	3/8	2/4	2	1	ii%43				ii%43	ii	%	43						%7	-4, 0, 2, -1		2	-4
102	102	202	0.5	0	0	2/4	2	1	V				V	V								M	1, 5, 2		1	1
102	102	405/2	0.5	1/8	1/8	2/4	2	1	vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
102	102	203	0.5	1/4	1/4	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
102	102	407/2	0.5	3/8	3/8	2/4	2	1	V				V	V								M	1, 5, 2		1	1
103	103	204	2.0	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0
