piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	wikidata	musicbrainz	viaf	extension	imslp	pdf	wdt:P86	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument
01. Stabat Mater dolorosa	1: 4/4	1: -4	47	47	188.0	47	47	188.0	882.5	1068	368	6	0	167	f	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	1	Stabat Mater dolorosa	P. 77				Editions FREDIPI	2019-07-23	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5653570	fredipi	1. Stabat Mater dolorosa	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/01. Stabat Mater dolorosa.mscx	False	32-85 (Ab1-Db6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/7608613a-b64e-364e-bfc8-e0fff0cc1a9e	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	64-79 (E4-G5)	Soprano	60-73 (C4-Db5)	Alto	56-85 (Ab3-Db6)	Piano	32-70 (Ab1-Bb4)	Piano
02. Cujus animam gementem	1: 3/8	1: -3	108	108	162.0	108	108	162.0	762.0	1036	329	0	0	228	c	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	2	Cujus animam gementem	P. 77				Editions FREDIPI	2019-07-25	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5655789	fredipi	2. Cujus animan gementem	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/02. Cujus animam gementem.mscx	False	36-84 (C2-C6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/93c6129b-e7a2-33fe-a615-344f9ebc5846	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	65-80 (F4-Ab5)	Soprano	55-84 (G3-C6)	Piano	36-65 (C2-F4)	Piano		
03. O quam tristis et afflicta	1: 4/4	1: -2	26	26	104.0	26	26	104.0	533.0	588	197	0	0	84	g	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	3	O quam tristis et afflicta	P. 77				Editions FREDIPI	2019-07-26	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5656628	fredipi	3. O quam tristis et afflicta	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/03. O quam tristis et afflicta.mscx	False	37-86 (C#2-D6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/aeefd465-eaed-319a-81e3-b60e6e05bb54	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	67-82 (G4-Bb5)	Soprano	58-75 (Bb3-Eb5)	Alto	55-86 (G3-D6)	Piano	37-64 (C#2-E4)	Piano
04. Quae moerebat et dolebat	1: 2/4	1: -3	103	103	206.0	103	103	206.0	737.25	1133	460	0	0	214	Eb	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	4	Quæ mœrebat et dolebat	P. 77				Editions FREDIPI	2019-07-27	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5657592	fredipi	4. Quæ mœrebat et dolebat	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/04. Quae moerebat et dolebat.mscx	False	34-84 (Bb1-C6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/fbe9f427-6aad-3dd7-ba88-d58f08fcbd2b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	62-77 (D4-F5)	Alto	53-84 (F3-C6)	Piano	34-65 (Bb1-F4)	Piano		
05. Quis est homo qui non fleret	1: 4/4, 20: 6/8	1: -3	49	49	166.0	49	49	166.0	851.0	1027	343	0	0	122	c	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	5	Qui est homo, qui non fleret	P. 77				Editions FREDIPI	2019-07-29	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5658694	fredipi	5. Qui est homo, qui non fleret	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/05. Quis est homo qui non fleret.mscx	False	31-82 (G1-Bb5)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/8770a0e9-910d-3315-9a2d-1867cc8634dd	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	63-80 (Eb4-Ab5)	Soprano	60-75 (C4-Eb5)	Alto	55-82 (G3-Bb5)	Piano	31-79 (G1-G5)	Piano
06. Vidit suum dulcem natum	1: 4/4	1: -4	43	43	172.0	43	43	172.0	704.5	926	325	0	0	153	f	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	6	Vidit suum dulcem natum	P. 77				Editions FREDIPI	2019-07-31	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5661577	fredipi	6. Vidit suum dulcem natum	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/06. Vidit suum dulcem natum.mscx	False	29-82 (F1-Bb5)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/51434e98-33bf-3a8d-ba37-e2530dc252c2	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	65-80 (F4-Ab5)	Soprano	56-82 (Ab3-Bb5)	Piano	29-62 (F1-D4)	Piano		
07. Eja, Mater fons amois	1: 3/8	1: -3	94	94	141.0	94	94	141.0	597.0	994	331	0	0	212	c	2.2.0	Uli Kneisel	1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	7	Eja mater fons amoris	P. 77				Editions FREDIPI	2019-08-02	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5663846	fredipi	7. Eja mater fons amoris	from: Stabat Mater, P. 77	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/07. Eja, Mater fons amois.mscx	False	42-84 (F#2-C6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/0a339b96-745c-3d49-bb38-4a530705eb4b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	59-75 (B3-Eb5)	Alto	55-84 (G3-C6)	Piano	42-68 (F#2-Ab4)	Piano		
08. Fac ut ardeat cor meum	1: 4/2	1: -2	72	72	572.0	72	72	572.0	3094.0	1626	550	0	0	0				1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	8	Fac ut ardeat cor meum	P. 77				Editions FREDIPI	2019-08-03		Microsoft Windows	http://musescore.com/user/1630246/scores/5667805	fredipi	8. Fac ut ardeat cor meum	STABAT MATER	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/08. Fac ut ardeat cor meum.mscx	False	31-86 (G1-D6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/0a339b96-745c-3d49-bb38-4a530705eb4b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	62-79 (D4-G5)	Soprano	60-74 (C4-D5)	Alto	55-86 (G3-D6)	Piano	31-67 (G1-G4)	Piano
09. Sancta mater, istud agas	1: 4/4	1: -3	84	84	336.0	84	84	336.0	1499.75	2603	890	0	0	0				1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	9	Sancta mater, istud agas	P. 77				Editions FREDIPI	2019-08-07		Microsoft Windows	http://musescore.com/user/1630246/scores/5668974	fredipi	9. Sancta mater, istud agas	STABAT MATER	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/09. Sancta mater, istud agas.mscx	False	35-86 (B1-D6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/0a339b96-745c-3d49-bb38-4a530705eb4b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	62-80 (D4-Ab5)	Soprano	58-75 (Bb3-Eb5)	Alto	53-86 (F3-D6)	Piano	35-67 (B1-G4)	Piano
10. Fac ut portem Christi mortem	1: 4/4	1: -2	26	26	104.0	26	26	104.0	403.0	1072	382	0	0	0				1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	10	Fac ut portem Christi mortem	P. 77				Editions FREDIPI	2019-08-09		Microsoft Windows	http://musescore.com/user/1630246/scores/5671064	fredipi	10. Fac ut portem Christi mortem	STABAT MATER	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/10. Fac ut portem Christi mortem.mscx	False	31-82 (G1-Bb5)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/0a339b96-745c-3d49-bb38-4a530705eb4b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	60-75 (C4-Eb5)	Alto	55-82 (G3-Bb5)	Piano	31-62 (G1-D4)	Piano		
11. Inflammatus et accensus	1: 4/4	1: -2	52	52	208.0	52	52	208.0	914.0	1563	489	0	0	0				1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	11	Inflammatus et accensus	P. 77				Editions FREDIPI	2019-08-10	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5672198	fredipi	11. Inflammatus et accensus	STABAT MATER	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/11. Inflammatus et accensus.mscx	False	29-84 (F1-C6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/0a339b96-745c-3d49-bb38-4a530705eb4b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	65-77 (F4-F5)	Soprano	60-72 (C4-C5)	Alto	57-84 (A3-C6)	Piano	29-74 (F1-D5)	Piano
12. Quando corpus morietur	1: 4/4, 30: 2/2	1: -4	94	94	376.0	94	94	376.0	1606.0	1343	678	0	0	0				1736	1736	https://en.wikipedia.org/wiki/Stabat_Mater_(Pergolesi)	Giovanni Battista Pergolesi	Stabat Mater	12	Quando corpus morietur	P. 77				Editions FREDIPI	2019-08-11	3.02	Microsoft Windows	http://musescore.com/user/1630246/scores/5672463	fredipi	12. Quando corpus morietur	STABAT MATER	Giovanni Battista Pergolesi	3.6.2	2.5.3	MS3	MS3/12. Quando corpus morietur.mscx	False	29-85 (F1-Db6)	Q185312	https://www.wikidata.org/wiki/Q643347	https://musicbrainz.org/work/0a339b96-745c-3d49-bb38-4a530705eb4b	https://viaf.org/viaf/185771760		https://imslp.org/wiki/Stabat_Mater,_P.77_(Pergolesi,_Giovanni_Battista)	https://imslp.org/wiki/Special:ReverseLookup/11261	https://www.wikidata.org/wiki/Q185312	65-79 (F4-G5)	Soprano	60-73 (C4-Db5)	Alto	52-85 (E3-Db6)	Piano	29-67 (F1-G4)	Piano
